waktu,DAIHATSU,HONDA,MITSUBISHI,SUZUKI,TOYOTA
2021-01-01,8993,7231,9108,6400,15474
2021-02-01,9412,6812,7567,4600,14645
2021-03-01,16770,11350,13088,8669,26034
2021-04-01,15861,8474,13820,8100,22618
2021-05-01,8310,5832,10160,5341,17361
2021-06-01,15481,8782,8277,8965,22310
2021-07-01,9284,9030,13453,6274,20950
2021-08-01,14408,7337,13720,10021,28418
2021-09-01,17529,3453,12200,7515,32596
2021-10-01,17020,5861,13109,7624,20633
2021-11-01,16045,7201,11410,8512,32487
2021-12-01,15795,9759,18211,9772,31865
2022-01-01,17660,10883,14586,7017,22493
2022-02-01,14638,11407,12323,6750,24087
2022-03-01,16969,12975,13299,8604,32408
2022-04-01,15533,10149,12340,5801,27284
2022-05-01,6981,8114,6729,6026,12984
2022-06-01,16764,9057,7890,7215,26838
2022-07-01,15673,9599,11756,7467,28829
2022-08-01,15282,11427,13808,8064,30103
2022-09-01,18472,13374,9461,7651,32760
2022-10-01,17089,9962,9188,7663,33153
2022-11-01,20496,11691,10704,8160,25670
2022-12-01,23165,12642,14654,9990,26935
2023-01-01,18194,15781,12217,6584,27538
2023-02-01,16263,14375,10195,7422,25936
2023-03-01,19884,16871,11100,8430,27968
2023-04-01,10778,4955,7654,4668,20047
2023-05-01,16009,11158,7644,6377,27043
2023-06-01,18112,11552,7619,7840,23969
2023-07-01,15821,10626,7814,5845,28184
2023-08-01,17481,11778,9835,6872,29008
2023-09-01,15009,10911,8416,6502,24833
2023-10-01,14099,11938,8179,5990,26688
2023-11-01,13545,10599,9244,7125,28851
2023-12-01,12805,8423,9143,7402,29923
2024-01-01,14363,8413,9003,6138,19763
2024-02-01,13981,7992,6997,4993,22337
2024-03-01,16552,10572,7395,6670,19398
2024-04-01,9481,4611,5999,4986,13732
2024-05-01,14983,7294,9392,5762,21036
2024-06-01,14967,6673,8710,4584,23872
2024-07-01,13910,6249,7820,5410,25877
2024-08-01,13829,7556,8537,5265,24274
2024-09-01,12676,7926,8171,5183,23408
2024-10-01,14096,8633,7900,3763,23426
2024-11-01,10030,8397,8362,5605,20966
2024-12-01,13057,8392,9413,6722,24274
2025-01-01,8165,7276,7139,4982,22082
2025-02-01,11959,5454,8798,4750,24397
2025-03-01,13057,6303,7380,3344,20082
2025-04-01,8884,3000,5197,4145,14007
2025-05-01,11166,3148,5897,3816,13575
2025-06-01,9356,4156,6501,4834,11093
2025-07-01,10451,5177,6121,5898,12734